activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.73Z,place,MIREILLE MORVAN,COLLEGIEN,77090,77,POINT (2.3788832 48.8596635),2.3788832,48.8596635
47.73Z,rue,DE CHAILLOT,PARIS 16,75116,75,POINT (2.2373655 48.8317277),2.2373655,48.8317277
47.73Z,rue,LEONARD DE VINCI,PARIS 16,75116,75,POINT (2.1812807 48.8761757),2.1812807,48.8761757
47.73Z,avenue,DE FLANDRE,PARIS 19,75019,75,POINT (2.2931478 48.82609),2.2931478,48.82609
47.73Z,rue,DU GENERAL DE GAULLE,RAMBOUILLET,78120,78,POINT (2.4550821 48.8918605),2.4550821,48.8918605
47.73Z,avenue,THEOPHILE GAUTIER,PARIS 16,75016,75,POINT (2.2575752 48.9141966),2.2575752,48.9141966
47.73Z,boulevard,DE GRENELLE,PARIS 15,75015,75,POINT (2.0190292 48.7991583),2.0190292,48.7991583
47.73Z,rue,DE MELUN,PERTHES,77930,77,POINT (2.3144773 48.8812448),2.3144773,48.8812448
47.73Z,avenue,FRANKLIN ROOSEVELT,MITRY-MORY,77290,77,POINT (2.0966837 48.8714738),2.0966837,48.8714738
47.73Z,avenue,HENRI BARBUSSE,BAGNEUX,92220,92,POINT (2.3565119 48.8601341),2.3565119,48.8601341
47.73Z,place,DE LA REPUBLIQUE,BOIS-LE-ROI,77590,77,POINT (2.8800261 48.9586701),2.8800261,48.9586701
47.73Z,avenue,GALLIENI,CHARTRETTES,77590,77,POINT (2.548113277035176 48.8480948),2.548113277035176,48.8480948
47.73Z,avenue,DE VERSAILLES,PARIS 16,75016,75,POINT (2.3596635277511293 48.87851365),2.3596635277511293,48.87851365
47.73Z,rue,MYRHA,PARIS 18,75018,75,POINT (2.4157633 48.9586959),2.4157633,48.9586959
47.73Z,rue,DE PARIS,TAVERNY,95150,95,POINT (2.4031571 48.8458293),2.4031571,48.8458293
47.73Z,allée,DES FRERES VOISIN,PARIS 15,75015,75,POINT (2.304397 48.9567273),2.304397,48.9567273
47.73Z,avenue,DES CHAMPS ELYSEES,PARIS 8,75008,75,POINT (1.9094487 48.9957673),1.9094487,48.9957673
47.73Z,avenue,DU DIX HUIT JUIN 1940,RUEIL-MALMAISON,92500,92,POINT (2.2428976 49.0077053),2.2428976,49.0077053
47.73Z,rue,DU GENERAL LECLERC,EAUBONNE,95600,95,POINT (2.3349784 48.8529684),2.3349784,48.8529684
47.73Z,rue,DU CENTRE,RIS-ORANGIS,91130,91,POINT (2.629833 48.5530626),2.629833,48.5530626
47.73Z,rue,DU FAUBOURG DU TEMPLE,PARIS 11,75011,75,POINT (2.3973928 48.8452116),2.3973928,48.8452116
47.73Z,avenue,VAUBAN,LIVRY-GARGAN,93190,93,POINT (2.572206 48.8372497),2.572206,48.8372497
47.73Z,rue,DU GENERAL LECLERC,MEAUX,77100,77,POINT (2.4269606 48.8753037),2.4269606,48.8753037
47.73Z,,DE CONFLANS,HERBLAY-SUR-SEINE,95220,95,POINT (2.1766713 48.6838319),2.1766713,48.6838319
47.73Z,rue,DES FRERES LUMIERE,LA QUEUE-EN-BRIE,94510,94,POINT (2.356524 48.8294546),2.356524,48.8294546
47.73Z,,DE L ABBAYE,GIF-SUR-YVETTE,91190,91,POINT (2.3415012 48.8252945),2.3415012,48.8252945
