activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.61Z,rue,VICTOR COUSIN,PARIS 5,75105,75,POINT (2.3426924 48.8482877),2.3426924,48.8482877
47.61Z,rue,DE LA TOUR,PARIS 16,75116,75,POINT (2.2834513 48.859108),2.2834513,48.859108
47.61Z,chemin,DES BAS VIGNONS,CORBEIL-ESSONNES,91174,91,POINT (2.4839396 48.5946195),2.4839396,48.5946195
47.61Z,rue,DU GENERAL DE GAULLE,VILLENEUVE-LE-ROI,94077,94,POINT (2.4252217 48.7353918),2.4252217,48.7353918
47.61Z,rue,DU CARDINAL LEMOINE,PARIS 5,75105,75,POINT (2.3543464 48.8492569),2.3543464,48.8492569
47.61Z,boulevard,MALESHERBES,PARIS 8,75108,75,POINT (2.3227378 48.8711584),2.3227378,48.8711584
47.61Z,boulevard,MALESHERBES,PARIS 17,75117,75,POINT (2.3217255 48.8718651),2.3217255,48.8718651
47.61Z,rue,DU QUATRE SEPTEMBRE,PARIS 2,75102,75,POINT (2.3397736 48.8690652),2.3397736,48.8690652
47.61Z,rue,DE L ABBE CARTON,PARIS 14,75114,75,POINT (2.3151492 48.8302061),2.3151492,48.8302061
47.61Z,rue,DU CHATEAU,RUEIL-MALMAISON,92063,92,POINT (2.1814953 48.8736747),2.1814953,48.8736747
47.61Z,place,DE LA REPUBLIQUE,BOIS-COLOMBES,92009,92,POINT (2.2681793 48.9152147),2.2681793,48.9152147
47.61Z,boulevard,SAINT GERMAIN,PARIS 5,75105,75,POINT (2.3552126 48.8492733),2.3552126,48.8492733
47.61Z,rue,DE LYON,PARIS 12,75112,75,POINT (2.3718374 48.8475344),2.3718374,48.8475344
